,Albania,Andorra,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia & Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,F.Y.R. Macedonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Morocco,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia & Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Turkey,Ukraine,United Kingdom,Yugoslavia
Albania,1.0,0.0,0.011083743842364532,0.023399014778325122,0.006157635467980296,0.03078817733990148,0.0024630541871921183,0.0012315270935960591,0.059113300492610835,0.017241379310344827,0.0024630541871921183,0.01600985221674877,0.0,0.003694581280788177,0.0049261083743842365,0.03694581280788178,0.0,0.03078817733990148,0.0,0.04310344827586207,0.1477832512315271,0.020935960591133004,0.007389162561576354,0.006157635467980296,0.023399014778325122,0.08990147783251232,0.0,0.0,0.0,0.013546798029556651,0.0,0.0,0.014778325123152709,0.0,0.019704433497536946,0.0,0.007389162561576354,0.024630541871921183,0.03940886699507389,0.003694581280788177,0.01600985221674877,0.01600985221674877,0.0,0.0,0.06773399014778325,0.04556650246305419,0.0,0.0049261083743842365,0.0874384236453202,0.019704433497536946,0.034482758620689655,0.0
Andorra,0.0,1.0,0.0,0.0,0.0,0.020114942528735632,0.0,0.0028735632183908046,0.0,0.0,0.0,0.011494252873563218,0.0,0.022988505747126436,0.0,0.0,0.0603448275862069,0.07471264367816093,0.0,0.014367816091954023,0.0603448275862069,0.034482758620689655,0.022988505747126436,0.011494252873563218,0.04310344827586207,0.0,0.034482758620689655,0.022988505747126436,0.0,0.020114942528735632,0.011494252873563218,0.0,0.0,0.0,0.03735632183908046,0.0,0.04597701149425287,0.05747126436781609,0.040229885057471264,0.0,0.0,0.005747126436781609,0.0,0.0,0.1724137931034483,0.04885057471264368,0.0028735632183908046,0.0,0.008620689655172414,0.09482758620689655,0.017241379310344827,0.0
Armenia,0.008028545941123996,0.0,1.0,0.009404388714733543,0.006269592476489028,0.001567398119122257,0.03605015673981191,0.012539184952978056,0.009404388714733543,0.017241379310344827,0.003134796238244514,0.02037617554858934,0.001567398119122257,0.01567398119122257,0.0,0.0109717868338558,0.0,0.07053291536050156,0.10501567398119123,0.009404388714733543,0.11598746081504702,0.0,0.007836990595611285,0.004702194357366771,0.009404388714733543,0.023510971786833857,0.003134796238244514,0.0,0.0,0.0219435736677116,0.02037617554858934,0.0,0.03134796238244514,0.0,0.04075235109717868,0.0,0.025078369905956112,0.007836990595611285,0.15203761755485892,0.004702194357366771,0.017241379310344827,0.0,0.0,0.0,0.02037617554858934,0.03605015673981191,0.007836990595611285,0.006269592476489028,0.006269592476489028,0.0877742946708464,0.02037617554858934,0.0
Australia,0.027656477438136828,0.0,0.008733624454148471,1.0,0.017241379310344827,0.0,0.0,0.10344827586206896,0.0,0.09195402298850575,0.005747126436781609,0.0,0.0,0.028735632183908046,0.017241379310344827,0.0,0.0,0.034482758620689655,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.04597701149425287,0.040229885057471264,0.040229885057471264,0.0,0.0,0.05747126436781609,0.0,0.0,0.0,0.022988505747126436,0.011494252873563218,0.040229885057471264,0.0,0.05747126436781609,0.0,0.028735632183908046,0.0,0.0,0.0,0.028735632183908046,0.10344827586206896,0.0,0.040229885057471264,0.0,0.011494252873563218,0.09195402298850575,0.0
Austria,0.0032938076416337285,0.0,0.002635046113306983,0.001976284584980237,1.0,0.009578544061302681,0.003352490421455939,0.02442528735632184,0.035440613026819924,0.007662835249042145,0.020114942528735632,0.007183908045977011,0.0019157088122605363,0.03639846743295019,0.012452107279693486,0.0004789272030651341,0.01293103448275862,0.05651340996168582,0.0,0.05316091954022988,0.0210727969348659,0.011494252873563218,0.017720306513409962,0.06992337164750957,0.034961685823754786,0.034961685823754786,0.009099616858237548,0.0004789272030651341,0.022509578544061302,0.023946360153256706,0.004789272030651341,0.006704980842911878,0.0,0.0,0.022509578544061302,0.016283524904214558,0.01293103448275862,0.013409961685823755,0.020114942528735632,0.0,0.01532567049808429,0.011494252873563218,0.0,0.0038314176245210726,0.032567049808429116,0.06848659003831417,0.04454022988505747,0.0435823754789272,0.028735632183908046,0.006704980842911878,0.08045977011494253,0.011494252873563218
Azerbaijan,0.019334880123743233,0.005413766434648105,0.0007733952049497294,0.0,0.015467904098994586,1.0,0.04482758620689655,0.0,0.008620689655172414,0.017241379310344827,0.010344827586206896,0.0034482758620689655,0.0,0.015517241379310345,0.013793103448275862,0.0,0.0,0.0,0.07241379310344828,0.0017241379310344827,0.05517241379310345,0.02413793103448276,0.0,0.0017241379310344827,0.04482758620689655,0.015517241379310345,0.008620689655172414,0.022413793103448276,0.0,0.04655172413793104,0.05344827586206897,0.0,0.0034482758620689655,0.0,0.02586206896551724,0.017241379310344827,0.013793103448275862,0.06379310344827586,0.11551724137931034,0.005172413793103448,0.0034482758620689655,0.0,0.0,0.005172413793103448,0.0034482758620689655,0.027586206896551724,0.0,0.0,0.08275862068965517,0.14482758620689656,0.01206896551724138,0.0
Belarus,0.006578947368421052,0.0,0.0756578947368421,0.0,0.023026315789473683,0.08552631578947369,1.0,0.014778325123152709,0.0049261083743842365,0.01600985221674877,0.006157635467980296,0.009852216748768473,0.0,0.006157635467980296,0.01847290640394089,0.0024630541871921183,0.009852216748768473,0.008620689655172414,0.04187192118226601,0.009852216748768473,0.03694581280788178,0.008620689655172414,0.0049261083743842365,0.0012315270935960591,0.02832512315270936,0.0049261083743842365,0.013546798029556651,0.038177339901477834,0.0,0.024630541871921183,0.04310344827586207,0.0,0.0,0.0,0.04310344827586207,0.011083743842364532,0.012315270935960592,0.007389162561576354,0.17364532019704434,0.0,0.009852216748768473,0.012315270935960592,0.0,0.0049261083743842365,0.0024630541871921183,0.05541871921182266,0.012315270935960592,0.008620689655172414,0.011083743842364532,0.1268472906403941,0.007389162561576354,0.0
Belgium,0.0005200208008320333,0.0005200208008320333,0.004160166406656267,0.0093603744149766,0.0265210608424337,0.0,0.0062402496099844,1.0,0.0034482758620689655,0.008620689655172414,0.007758620689655172,0.01767241379310345,0.0004310344827586207,0.03405172413793103,0.00603448275862069,0.0,0.008189655172413794,0.05,0.007758620689655172,0.05775862068965517,0.041379310344827586,0.00603448275862069,0.015948275862068966,0.05603448275862069,0.04396551724137931,0.026724137931034484,0.013793103448275862,0.0017241379310344827,0.022844827586206897,0.01939655172413793,0.003879310344827586,0.006896551724137931,0.0,0.0,0.05129310344827586,0.0021551724137931034,0.016379310344827588,0.013793103448275862,0.01810344827586207,0.0,0.005172413793103448,0.001293103448275862,0.0,0.0017241379310344827,0.052155172413793104,0.060775862068965514,0.04224137931034483,0.046120689655172416,0.04655172413793104,0.009482758620689655,0.06422413793103449,0.01939655172413793
Bosnia & Herzegovina,0.03864734299516908,0.0,0.004830917874396135,0.0,0.05958132045088567,0.004025764895330112,0.00322061191626409,0.00644122383252818,1.0,0.008166969147005444,0.09528130671506352,0.0,0.0054446460980036296,0.007259528130671506,0.016333938294010888,0.03901996370235935,0.009981851179673321,0.0499092558983666,0.004537205081669692,0.029945553539019964,0.038112522686025406,0.003629764065335753,0.0009074410163339383,0.04083484573502722,0.02631578947368421,0.010889292196007259,0.004537205081669692,0.0018148820326678765,0.0,0.041742286751361164,0.003629764065335753,0.0,0.0,0.0,0.029038112522686024,0.022686025408348458,0.0018148820326678765,0.011796733212341199,0.020871143375680582,0.0,0.05807622504537205,0.019963702359346643,0.0,0.05535390199637023,0.02722323049001815,0.047186932849364795,0.003629764065335753,0.016333938294010888,0.08620689655172414,0.028130671506352088,0.029945553539019964,0.0
Bulgaria,0.02491103202846975,0.0,0.019572953736654804,0.028469750889679714,0.028469750889679714,0.017793594306049824,0.023131672597864767,0.03558718861209965,0.01601423487544484,1.0,0.003134796238244514,0.0219435736677116,0.0,0.014106583072100314,0.0,0.03918495297805643,0.012539184952978056,0.0,0.01567398119122257,0.023510971786833857,0.13636363636363635,0.017241379310344827,0.007836990595611285,0.004702194357366771,0.01567398119122257,0.0,0.0,0.012539184952978056,0.0,0.0109717868338558,0.02037617554858934,0.0,0.0,0.0,0.007836990595611285,0.0109717868338558,0.0,0.032915360501567396,0.06583072100313479,0.0,0.04231974921630094,0.006269592476489028,0.0,0.0,0.014106583072100314,0.018808777429467086,0.0,0.018808777429467086,0.07210031347962383,0.061128526645768025,0.029780564263322883,0.0
Croatia,0.001851851851851852,0.0,0.001851851851851852,0.000925925925925926,0.03888888888888889,0.005555555555555556,0.004629629629629629,0.016666666666666666,0.09722222222222222,0.001851851851851852,1.0,0.02923538230884558,0.0074962518740629685,0.020239880059970013,0.01424287856071964,0.04272863568215892,0.0074962518740629685,0.025487256371814093,0.006746626686656672,0.0239880059970015,0.03673163418290855,0.02848575712143928,0.009745127436281859,0.03073463268365817,0.015742128935532233,0.017241379310344827,0.010494752623688156,0.0074962518740629685,0.0,0.06146926536731634,0.0037481259370314842,0.0,0.0,0.0,0.03073463268365817,0.005997001499250375,0.014992503748125937,0.009745127436281859,0.04872563718140929,0.0,0.038980509745127435,0.017991004497751123,0.005997001499250375,0.047976011994003,0.026986506746626688,0.018740629685157422,0.0037481259370314842,0.018740629685157422,0.035982008995502246,0.03073463268365817,0.047976011994003,0.0
Cyprus,0.00944767441860465,0.0029069767441860465,0.00944767441860465,0.0,0.010901162790697675,0.0014534883720930232,0.005813953488372093,0.029796511627906978,0.0,0.010174418604651164,0.028343023255813952,1.0,0.0,0.02484787018255578,0.009634888438133874,0.002535496957403651,0.011663286004056795,0.04158215010141988,0.006592292089249493,0.02636916835699797,0.15821501014198783,0.005578093306288032,0.014705882352941176,0.04665314401622718,0.029918864097363083,0.04056795131845842,0.004563894523326572,0.004563894523326572,0.016227180527383367,0.028397565922920892,0.002028397565922921,0.0,0.0,0.0,0.034482758620689655,0.0035496957403651115,0.014705882352941176,0.0268762677484787,0.04563894523326572,0.0,0.008113590263691683,0.010141987829614604,0.0,0.005578093306288032,0.056795131845841784,0.04766734279918864,0.02535496957403651,0.013691683569979716,0.006085192697768763,0.02281947261663286,0.04310344827586207,0.029918864097363083
Czech Republic,0.0,0.0,0.024390243902439025,0.0,0.0975609756097561,0.0,0.0,0.024390243902439025,0.14634146341463414,0.0,0.24390243902439024,0.0,1.0,0.022988505747126436,0.0,0.014367816091954023,0.0,0.014367816091954023,0.02586206896551724,0.0,0.022988505747126436,0.031609195402298854,0.005747126436781609,0.0,0.011494252873563218,0.020114942528735632,0.02586206896551724,0.008620689655172414,0.0,0.017241379310344827,0.008620689655172414,0.0,0.0,0.0,0.008620689655172414,0.0028735632183908046,0.05459770114942529,0.0,0.08333333333333333,0.0,0.04885057471264368,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.04310344827586207,0.0028735632183908046,0.07183908045977011,0.04310344827586207,0.0
Denmark,0.0012557555462536626,0.0033486814566764337,0.004185851820845542,0.002092925910422771,0.03181247383842612,0.0037672666387609877,0.002092925910422771,0.033068229384679786,0.0033486814566764337,0.0037672666387609877,0.011301799916282964,0.020510673922143157,0.0033486814566764337,1.0,0.021551724137931036,0.0,0.017241379310344827,0.031609195402298854,0.0,0.07614942528735633,0.015804597701149427,0.005268199233716475,0.04885057471264368,0.06321839080459771,0.02442528735632184,0.01053639846743295,0.014846743295019157,0.006704980842911878,0.01532567049808429,0.029693486590038315,0.004789272030651341,0.006704980842911878,0.0,0.0,0.06226053639846743,0.0028735632183908046,0.011015325670498084,0.011494252873563218,0.016762452107279693,0.0,0.0028735632183908046,0.003352490421455939,0.0,0.003352490421455939,0.014846743295019157,0.13409961685823754,0.03735632183908046,0.031130268199233715,0.027777777777777776,0.014846743295019157,0.06609195402298851,0.02490421455938697
Estonia,0.003499562554680665,0.0,0.0,0.0026246719160104987,0.022747156605424323,0.00699912510936133,0.013123359580052493,0.012248468941382326,0.015748031496062992,0.0,0.016622922134733157,0.016622922134733157,0.0,0.03937007874015748,1.0,0.0,0.05022488755622189,0.03298350824587706,0.01649175412293853,0.031484257871064465,0.008995502248875561,0.026986506746626688,0.03823088455772114,0.03298350824587706,0.012743628185907047,0.01199400299850075,0.05697151424287856,0.021739130434782608,0.0,0.029985007496251874,0.004497751124437781,0.0,0.0,0.0,0.06371814092953523,0.01424287856071964,0.008245877061469266,0.0037481259370314842,0.11319340329835083,0.0,0.0,0.0007496251874062968,0.0,0.008245877061469266,0.009745127436281859,0.11094452773613193,0.008995502248875561,0.026986506746626688,0.008995502248875561,0.043478260869565216,0.03973013493253373,0.0
F.Y.R. Macedonia,0.08130081300813008,0.0,0.018970189701897018,0.0,0.0027100271002710027,0.0,0.005420054200542005,0.0,0.11653116531165311,0.06775067750677506,0.15447154471544716,0.013550135501355014,0.013550135501355014,0.0,0.0,1.0,0.008113590263691683,0.009127789046653144,0.005070993914807302,0.008113590263691683,0.034482758620689655,0.011156186612576065,0.002028397565922921,0.007099391480730223,0.014198782961460446,0.02535496957403651,0.013184584178498986,0.0030425963488843813,0.0,0.02535496957403651,0.019269776876267748,0.0,0.016227180527383367,0.0,0.018255578093306288,0.005070993914807302,0.014198782961460446,0.04158215010141988,0.0486815415821501,0.0,0.06490872210953347,0.02028397565922921,0.0,0.02738336713995943,0.005070993914807302,0.033468559837728194,0.0,0.014198782961460446,0.08012170385395538,0.04158215010141988,0.028397565922920892,0.0
Finland,0.0,0.017721518987341773,0.0,0.0,0.02278481012658228,0.0,0.006751054852320675,0.016033755274261603,0.009282700421940928,0.006751054852320675,0.008438818565400843,0.019409282700421943,0.0,0.030379746835443037,0.056540084388185655,0.006751054852320675,1.0,0.04945553539019964,0.003176043557168784,0.036297640653357534,0.024500907441016333,0.02223230490018149,0.023593466424682397,0.047186932849364795,0.061252268602540835,0.05852994555353902,0.012704174228675136,0.006352087114337568,0.0249546279491833,0.014519056261343012,0.002268602540834846,0.007713248638838476,0.0,0.0,0.04764065335753176,0.003629764065335753,0.01678765880217786,0.0027223230490018148,0.028130671506352088,0.0,0.007259528130671506,0.004537205081669692,0.0,0.002268602540834846,0.036297640653357534,0.09301270417422867,0.04446460980036298,0.03176043557168784,0.018602540834845735,0.009528130671506351,0.04809437386569873,0.01588021778584392
France,0.008960573476702509,0.00931899641577061,0.016129032258064516,0.002150537634408602,0.04229390681003584,0.0,0.0025089605734767025,0.04157706093189964,0.01971326164874552,0.0,0.012186379928315413,0.02939068100358423,0.0017921146953405018,0.023655913978494623,0.015770609318996417,0.0032258064516129032,0.03906810035842294,1.0,0.0,0.04433497536945813,0.03858784893267652,0.007799671592775041,0.006568144499178982,0.04064039408866995,0.06486042692939245,0.05090311986863711,0.007389162561576354,0.0012315270935960591,0.022988505747126436,0.0180623973727422,0.004105090311986864,0.003694581280788177,0.0,0.0,0.022167487684729065,0.012725779967159278,0.060755336617405585,0.013957307060755337,0.01600985221674877,0.0,0.013546798029556651,0.006568144499178982,0.0,0.005747126436781609,0.056239737274220034,0.048440065681444995,0.029967159277504107,0.04146141215106732,0.06198686371100164,0.003284072249589491,0.06116584564860427,0.008620689655172414
Georgia,0.0,0.0,0.11037891268533773,0.0016474464579901153,0.0,0.06919275123558484,0.05601317957166392,0.029654036243822075,0.008237232289950576,0.016474464579901153,0.014827018121911038,0.0214168039538715,0.014827018121911038,0.0,0.036243822075782535,0.008237232289950576,0.011532125205930808,0.0,1.0,0.013793103448275862,0.032758620689655175,0.008620689655172414,0.0,0.0,0.01896551724137931,0.039655172413793106,0.022413793103448276,0.056896551724137934,0.0,0.005172413793103448,0.015517241379310345,0.0,0.0,0.0,0.03793103448275862,0.0,0.020689655172413793,0.0,0.07413793103448275,0.0,0.010344827586206896,0.0,0.0,0.0,0.0034482758620689655,0.05517241379310345,0.0017241379310344827,0.0017241379310344827,0.034482758620689655,0.11896551724137931,0.010344827586206896,0.0
Germany,0.013049962714392245,0.0018642803877703207,0.0022371364653243847,0.0,0.04138702460850112,0.0003728560775540641,0.002982848620432513,0.049962714392244596,0.012304250559284116,0.005592841163310962,0.011931394481730051,0.019388516032811335,0.0,0.0592841163310962,0.015659955257270694,0.002982848620432513,0.02982848620432513,0.040268456375838924,0.002982848620432513,1.0,0.042692939244663386,0.011494252873563218,0.020114942528735632,0.053366174055829226,0.050492610837438424,0.026683087027914613,0.013957307060755337,0.0008210180623973727,0.017241379310344827,0.024220032840722498,0.002052545155993432,0.009441707717569787,0.0,0.0,0.04720853858784893,0.022988505747126436,0.02175697865353038,0.004105090311986864,0.027914614121510674,0.0,0.012725779967159278,0.005336617405582923,0.0,0.004105090311986864,0.03201970443349754,0.06321839080459771,0.0332512315270936,0.04228243021346469,0.06978653530377668,0.007389162561576354,0.06239737274220033,0.006568144499178982
Greece,0.043149946062567425,0.007551240560949299,0.02660913340524991,0.0,0.015821646889608056,0.011506652283351312,0.010787486515641856,0.034519956850053934,0.015102481121898598,0.03128371089536138,0.017619561308881697,0.1121898597626753,0.002876663070837828,0.011866235167206042,0.004314994606256742,0.01222581805106077,0.019417475728155338,0.03380079108234448,0.0068320747932398415,0.037396619920891765,1.0,0.0060577819198508855,0.013513513513513514,0.04613233923578751,0.017707362534948742,0.03681267474370923,0.0065237651444548,0.001863932898415657,0.011183597390493943,0.03168685927306617,0.012581547064305684,0.007455731593662628,0.0,0.0,0.02702702702702703,0.010251630941286114,0.022833178005591797,0.02749301025163094,0.03774464119291705,0.0,0.007921714818266543,0.0065237651444548,0.0032618825722274,0.006989748369058714,0.06383970177073625,0.023299161230195712,0.027958993476234855,0.02702702702702703,0.016775396085740912,0.022367194780987885,0.03960857409133271,0.008387698042870456
Hungary,0.02096177558569667,0.014796547472256474,0.0,0.0,0.029593094944512947,0.01726263871763255,0.008631319358816275,0.01726263871763255,0.004932182490752158,0.013563501849568433,0.0468557336621455,0.013563501849568433,0.013563501849568433,0.013563501849568433,0.04438964241676942,0.013563501849568433,0.06041923551171394,0.02342786683107275,0.006165228113440197,0.0345252774352651,0.016029593094944512,1.0,0.041379310344827586,0.027586206896551724,0.01839080459770115,0.016091954022988506,0.016091954022988506,0.0034482758620689655,0.0,0.034482758620689655,0.01264367816091954,0.0,0.0,0.0,0.05057471264367816,0.02413793103448276,0.021839080459770115,0.022988505747126436,0.04367816091954023,0.004597701149425287,0.026436781609195402,0.0022988505747126436,0.0,0.016091954022988506,0.020689655172413793,0.06436781609195402,0.004597701149425287,0.04942528735632184,0.022988505747126436,0.029885057471264367,0.041379310344827586,0.0
Iceland,0.0045662100456621,0.0060882800608828,0.00380517503805175,0.0,0.02815829528158295,0.0,0.0030441400304414,0.02815829528158295,0.00076103500761035,0.00380517503805175,0.00989345509893455,0.02207001522070015,0.0015220700152207,0.0776255707762557,0.03881278538812785,0.0015220700152207,0.0395738203957382,0.0121765601217656,0.0,0.03729071537290715,0.02207001522070015,0.0273972602739726,1.0,0.03103448275862069,0.01839080459770115,0.017816091954022988,0.013793103448275862,0.00632183908045977,0.005172413793103448,0.013793103448275862,0.004597701149425287,0.0,0.0,0.0,0.07701149425287357,0.010344827586206896,0.03103448275862069,0.010344827586206896,0.027011494252873563,0.0,0.006896551724137931,0.004022988505747126,0.0,0.007471264367816092,0.014942528735632184,0.09942528735632183,0.028735632183908046,0.028735632183908046,0.01206896551724138,0.01839080459770115,0.02528735632183908,0.027586206896551724
Ireland,0.0016989466530750934,0.0013591573224600749,0.0010193679918450561,0.0,0.04960924226979273,0.0003397893306150187,0.0003397893306150187,0.04417261297995243,0.01529051987767584,0.0010193679918450561,0.013931362555215767,0.03126061841658172,0.0,0.04485219164118247,0.014950730547060823,0.002378525314305131,0.03533809038396194,0.03363914373088685,0.0,0.04417261297995243,0.03363914373088685,0.00815494393476045,0.01834862385321101,1.0,0.03532380151387721,0.03868797308662742,0.0248107653490328,0.02396972245584525,0.027333894028595457,0.036585365853658534,0.0054667788057190915,0.007148864592094197,0.0,0.0,0.054667788057190914,0.008410428931875526,0.010092514718250631,0.017661900756938603,0.022708158116063918,0.0,0.001682085786375105,0.001261564339781329,0.0,0.010092514718250631,0.019764507989907486,0.06686291000841042,0.03532380151387721,0.04667788057190917,0.00672834314550042,0.013877207737594618,0.08368376787216147,0.014297729184188394
